"","Label","X0.10.","X10.20.","X20.30.","X30.40.","X40.50.","X50.60.","X60.70.","X70.80.","X80.90.","X90.100.","Cluster","Cor.RPL"
"1","11J1_CD4T_488Coro1A_555RPL10A_D001_01_nucleus_179_118_4_15",0.924296979555481,0.965661235266567,0.995030079958889,1.0000812794301,0.998312977827764,0.978702006762781,0.916484964132102,0.788061419559846,0.580103187223276,0.325667819154807,2,-0.604799120551926
"2","11J1_CD4T_488Coro1A_555RPL10A_D001_01_nucleus_239_719_3_16",0.925820299548037,0.967566514869208,0.985957630779289,0.999148058537042,1.00905390458324,0.97907922659633,0.870298753042915,0.688195041183254,0.452671133327907,0.189410170084394,2,-0.256292940927514
"3","11J1_CD4T_488Coro1A_555RPL10A_D001_01_nucleus_331_647_3_16",0.931734474466472,0.951675903232307,0.988044461280444,1.01013860489274,0.992921183192913,0.91725979149695,0.785195249977904,0.613660250397097,0.417960469047701,0.210325408219092,2,-0.611472886983766
"4","11J1_CD4T_488Coro1A_555RPL10A_D001_01_nucleus_339_562_4_16",0.941357918830429,0.95071106650963,0.977589186790242,0.99776224631732,0.991789465368544,0.941487461791107,0.830870344852385,0.658838028277958,0.433786187581618,0.178614828011243,2,-0.50455451065088
"5","11J1_CD4T_488Coro1A_555RPL10A_D001_01_nucleus_461_891_3_16",0.872193645673149,0.964837066826053,0.995296671759668,1.00570835825385,0.993265713433614,0.915964411117395,0.768944458034638,0.582348291708433,0.379798059281686,0.170090000357874,2,-0.893423875088452
"6","11J1_CD4T_488Coro1A_555RPL10A_D001_01_nucleus_501_303_4_16",0.894270793825253,0.953144426105305,0.996405996506151,1.00442076186591,0.971251490963168,0.892739033046182,0.765997418692503,0.595041725795269,0.388462350205658,0.162321033275998,2,-0.102133739651879
"7","11J1_CD4T_488Coro1A_555RPL10A_D001_01_nucleus_529_747_3_16",0.893919007888286,0.94156955979789,0.975029707233099,0.970455285023793,0.918569789158588,0.821262188002467,0.68703735948963,0.529016748771613,0.357815800835598,0.180186246850539,2,-0.662412429905874
"8","11J1_CD4T_488Coro1A_555RPL10A_D001_01_nucleus_685_384_4_16",0.968064912936147,0.897160302199017,0.8675939026833,0.860693705145066,0.856140586485231,0.822801828191156,0.725817281033891,0.568521726313492,0.375190244285528,0.165166743616154,1,-0.588865158546555
"9","11J1_CD4T_488Coro1A_555RPL10A_D001_02_nucleus_176_364_3_15",0.938478516483492,0.945354848018251,0.957348136639448,0.955952095406396,0.925799887062994,0.856883961277435,0.746658455361952,0.602052748463729,0.432101951027069,0.249251731277968,1,-0.657005466723245
"10","11J1_CD4T_488Coro1A_555RPL10A_D001_02_nucleus_265_718_3_15",0.962095402084302,0.956624647545017,0.963677334542541,0.962903327783902,0.935253831779378,0.868307122989357,0.754186825445194,0.594958487489937,0.397251411588686,0.178928284109152,1,-0.939044410214534
"11","11J1_CD4T_488Coro1A_555RPL10A_D001_02_nucleus_451_356_2_15",0.893510167141823,0.956680785121706,0.994615540750954,0.999755881631459,0.964391243870915,0.877646112813454,0.734085700397592,0.552362887019063,0.354618205527401,0.150811119370955,2,-0.793068044358749
"12","11J1_CD4T_488Coro1A_555RPL10A_D001_02_nucleus_563_478_3_15",0.947283644186248,0.900120271023792,0.912072654543298,0.919204487775123,0.89971769946553,0.839828310745998,0.730343333148485,0.574223184863734,0.379992518444053,0.165143039753917,1,-0.445042827459912
"13","11J1_CD4T_488Coro1A_555RPL10A_D001_02_nucleus_630_833_1_15",0.882133574440816,0.798074403152359,0.793900623944024,0.803276399702665,0.781928936906274,0.716835124706191,0.609675346738844,0.474027203348286,0.321768929337922,0.161367613468253,1,-0.577615547362899
"14","11J1_CD4T_488Coro1A_555RPL10A_D001_02_nucleus_64_159_4_15",0.866131569370316,0.9670131948614,0.998246989970387,1.000337805575,0.994154258769429,0.969221540578777,0.908395816667732,0.787640517882049,0.599448782489572,0.374934035800559,2,-0.482581624639025
"15","11J1_CD4T_488Coro1A_555RPL10A_D001_02_nucleus_659_505_1_15",0.901551416518259,0.950857879203433,0.986271836492865,0.990444472142174,0.953255528504879,0.869800678113333,0.742147528752956,0.578517880281183,0.388933931090877,0.186244562183821,2,-0.923720505806189
"16","11J1_CD4T_488Coro1A_555RPL10A_D001_02_nucleus_801_395_2_14",0.914504909189515,0.851761130395092,0.84859688967975,0.851406268066824,0.82917839966073,0.771689350301776,0.67377228785179,0.536480173207798,0.364650743219684,0.174270817370891,1,-0.341255005703946
"17","11J1_CD4T_488Coro1A_555RPL10A_D001_02_nucleus_841_135_2_14",0.84423785788003,0.938468393654139,0.989339516366369,0.99465552832297,0.955670645048051,0.875798164732696,0.757919999355156,0.604184212096038,0.420291985394283,0.220693402907111,2,-0.554532195065698
"18","11J1_CD4T_488Coro1A_555RPL10A_D001_03_nucleus_12_864_1_14",0.962394797561756,0.975362914070561,0.994933726955636,0.997098864674024,0.968343544986575,0.91396282063394,0.829415108433444,0.693836237384757,0.498328119295908,0.269916008691908,2,-0.888450007858276
"19","11J1_CD4T_488Coro1A_555RPL10A_D001_03_nucleus_147_752_2_13",0.948764362781351,0.897937247623161,0.875316093971234,0.865474018032615,0.854555585321735,0.82201640890119,0.747774542033862,0.617967724010455,0.426562751022996,0.199454569898548,1,-0.33686774663119
"20","11J1_CD4T_488Coro1A_555RPL10A_D001_03_nucleus_186_492_1_14",0.847578747719414,0.949783173980687,0.996289424606901,0.993164295110464,0.94721601328844,0.864154515566803,0.747634070542168,0.599970335672332,0.427533424301157,0.242509117892642,2,-0.554229464157215
